Ra,Va,Vw
4290,10.495440,0.140073
4300,10.478257,0.140400
4310,10.461135,0.140726
4320,10.444073,0.141053
4330,10.427073,0.141379
4340,10.410132,0.141706
4350,10.393251,0.142032
4360,10.376429,0.142359
4370,10.359667,0.142685
4380,10.342963,0.143012
4390,10.326318,0.143338
4400,10.309731,0.143665
4410,10.293201,0.143991
4420,10.276730,0.144318
4430,10.260315,0.144644
4440,10.243957,0.144971
4450,10.227655,0.145297
4460,10.211410,0.145624
4470,10.195220,0.145950
4480,10.179087,0.146277
4490,10.163008,0.146603
4500,10.146984,0.146930
4510,10.131015,0.147257
4520,10.115101,0.147583
4530,10.099240,0.147910
4540,10.083433,0.148236
4550,10.067680,0.148563
4560,10.051980,0.148889
4570,10.036333,0.149216
4580,10.020738,0.149542
4590,10.005196,0.149869
4600,9.989706,0.150195
4610,9.974268,0.150522
4620,9.958881,0.150848
4630,9.943545,0.151175
4640,9.928261,0.151501
4650,9.913027,0.151828
4660,9.897844,0.152154
4670,9.882710,0.152481
4680,9.867627,0.152807
4690,9.852593,0.153134
4700,9.837609,0.153460
4710,9.822674,0.153787
4720,9.807787,0.154113
4730,9.792949,0.154440
4740,9.778160,0.154766
4750,9.763419,0.155093
4760,9.748725,0.155419
4770,9.734080,0.155746
4780,9.719481,0.156072
4790,9.704930,0.156399
4800,9.690425,0.156725
4810,9.675967,0.157052
4820,9.661556,0.157378
4830,9.647191,0.157705
4840,9.632872,0.158031
4850,9.618598,0.158358
4860,9.604370,0.158684
4870,9.590187,0.159011
4880,9.576049,0.159337
4890,9.561956,0.159664
4900,9.547907,0.159990
4910,9.533903,0.160317
4920,9.519943,0.160643
4930,9.506027,0.160970
4940,9.492154,0.161296
4950,9.478325,0.161623
4960,9.464539,0.161950
4970,9.450796,0.162276
4980,9.437096,0.162603
4990,9.423439,0.162929
5000,9.409824,0.163256
5010,9.396251,0.163582
5020,9.382720,0.163909
5030,9.369231,0.164235
5040,9.355783,0.164562
5050,9.342377,0.164888
5060,9.329012,0.165215
5070,9.315688,0.165541
5080,9.302405,0.165868
5090,9.289162,0.166194
5100,9.275960,0.166521
5110,9.262797,0.166847
5120,9.249675,0.167174
5130,9.236593,0.167500
5140,9.223550,0.167827
5150,9.210546,0.168153
5160,9.197582,0.168480
5170,9.184657,0.168806
5180,9.171770,0.169133
5190,9.158923,0.169459
5200,9.146113,0.169786
5210,9.133342,0.170112
5220,9.120609,0.170439
5230,9.107914,0.170765
5240,9.095257,0.171092
5250,9.082638,0.171418
5260,9.070055,0.171745
5270,9.057510,0.172071
5280,9.045002,0.172398
5290,9.032531,0.172724
5300,9.020097,0.173051
5310,9.007699,0.173377
5320,8.995337,0.173704
5330,8.983012,0.174030
5340,8.970723,0.174357
5350,8.958469,0.174683
5360,8.946252,0.175010
5370,8.934069,0.175336
5380,8.921923,0.175663
5390,8.909811,0.175989
5400,8.897734,0.176316
5410,8.885693,0.176643
5420,8.873686,0.176969
5430,8.861713,0.177296
5440,8.849775,0.177622
5450,8.837871,0.177949
5460,8.826002,0.178275
5470,8.814166,0.178602
5480,8.802364,0.178928
5490,8.790596,0.179255
5500,8.778861,0.179581
5510,8.767159,0.179908
5520,8.755491,0.180234
5530,8.743856,0.180561
5540,8.732253,0.180887
5550,8.720684,0.181214
5560,8.709147,0.181540
5570,8.697642,0.181867
5580,8.686170,0.182193
5590,8.674730,0.182520
5600,8.663322,0.182846
5610,8.651945,0.183173
5620,8.640601,0.183499
5630,8.629288,0.183826
5640,8.618007,0.184152
5650,8.606757,0.184479
5660,8.595538,0.184805
5670,8.584350,0.185132
5680,8.573193,0.185458
5690,8.562067,0.185785
5700,8.550971,0.186111
5710,8.539906,0.186438
5720,8.528872,0.186764
5730,8.517867,0.187091
5740,8.506893,0.187417
5750,8.495949,0.187744
5760,8.485034,0.188070
5770,8.474150,0.188397
5780,8.463295,0.188723
5790,8.452469,0.189050
5800,8.441673,0.189376
5810,8.430906,0.189703
5820,8.420168,0.190029
5830,8.409459,0.190356
5840,8.398779,0.190682
5850,8.388127,0.191009
5860,8.377505,0.191336
5870,8.366911,0.191662
5880,8.356345,0.191989
5890,8.345807,0.192315
5900,8.335298,0.192642
5910,8.324816,0.192968
5920,8.314362,0.193295
